iso3,year,value,indicator description,indicator code
SDN,2003,1.068923518678804,WDI-calculated corruption score share of 148,CC.EST calculated
SEN,2003,4.1544030188537375,WDI-calculated corruption score share of 148,CC.EST calculated
SLE,2003,1.9005400431789556,WDI-calculated corruption score share of 148,CC.EST calculated
SOM,2003,0.1815903974995747,WDI-calculated corruption score share of 148,CC.EST calculated
SSD,2003,,WDI-calculated corruption score share of 148,CC.EST calculated
STP,2003,4.250024177874225,WDI-calculated corruption score share of 148,CC.EST calculated
SWZ,2003,4.358852571891269,WDI-calculated corruption score share of 148,CC.EST calculated
SYC,2003,6.952084169146331,WDI-calculated corruption score share of 148,CC.EST calculated
TCD,2003,0.18427836914781678,WDI-calculated corruption score share of 148,CC.EST calculated
TGO,2003,1.8721801188454563,WDI-calculated corruption score share of 148,CC.EST calculated
TUN,2003,4.948638194622018,WDI-calculated corruption score share of 148,CC.EST calculated
TZA,2003,2.3751427690852482,WDI-calculated corruption score share of 148,CC.EST calculated
UGA,2003,1.7334038395905194,WDI-calculated corruption score share of 148,CC.EST calculated
ZAF,2003,5.4046321559129495,WDI-calculated corruption score share of 148,CC.EST calculated
ZMB,2003,2.6531247308871633,WDI-calculated corruption score share of 148,CC.EST calculated
ZWE,2003,1.0125093651114678,WDI-calculated corruption score share of 148,CC.EST calculated
AGO,2004,1.0354592751277376,WDI-calculated corruption score share of 148,CC.EST calculated
BDI,2004,2.0069064310019424,WDI-calculated corruption score share of 148,CC.EST calculated
BEN,2004,3.017824293993543,WDI-calculated corruption score share of 148,CC.EST calculated
BFA,2004,4.025301077647984,WDI-calculated corruption score share of 148,CC.EST calculated
BWA,2004,6.519313037858542,WDI-calculated corruption score share of 148,CC.EST calculated
CAF,2004,0.7928085485991714,WDI-calculated corruption score share of 148,CC.EST calculated
CIV,2004,1.3670402541158007,WDI-calculated corruption score share of 148,CC.EST calculated
CMR,2004,1.6490753770045274,WDI-calculated corruption score share of 148,CC.EST calculated
COD,2004,0.8720966564638942,WDI-calculated corruption score share of 148,CC.EST calculated
COG,2004,1.8660310284518533,WDI-calculated corruption score share of 148,CC.EST calculated
COM,2004,2.284735391341098,WDI-calculated corruption score share of 148,CC.EST calculated
CPV,2004,5.212993997123704,WDI-calculated corruption score share of 148,CC.EST calculated
DJI,2004,3.343822127468812,WDI-calculated corruption score share of 148,CC.EST calculated
DZA,2004,2.686231710197774,WDI-calculated corruption score share of 148,CC.EST calculated
EGY,2004,2.9679742468724553,WDI-calculated corruption score share of 148,CC.EST calculated
ERI,2004,4.027575329836293,WDI-calculated corruption score share of 148,CC.EST calculated
ETH,2004,2.54453947424596,WDI-calculated corruption score share of 148,CC.EST calculated
GAB,2004,2.376232772323144,WDI-calculated corruption score share of 148,CC.EST calculated
GHA,2004,3.707765216089786,WDI-calculated corruption score share of 148,CC.EST calculated
GIN,2004,2.227882423015597,WDI-calculated corruption score share of 148,CC.EST calculated
GMB,2004,3.116663166444546,WDI-calculated corruption score share of 148,CC.EST calculated
GNB,2004,1.2861875280534234,WDI-calculated corruption score share of 148,CC.EST calculated
GNQ,2004,1.0286356482022454,WDI-calculated corruption score share of 148,CC.EST calculated
KEN,2004,2.2028795747134384,WDI-calculated corruption score share of 148,CC.EST calculated
LBR,2004,1.1521873938230824,WDI-calculated corruption score share of 148,CC.EST calculated
LBY,2004,2.1589456585559934,WDI-calculated corruption score share of 148,CC.EST calculated
LSO,2004,4.128264135561692,WDI-calculated corruption score share of 148,CC.EST calculated
MAR,2004,3.7947595690353753,WDI-calculated corruption score share of 148,CC.EST calculated
MDG,2004,3.600263209633297,WDI-calculated corruption score share of 148,CC.EST calculated
MLI,2004,2.739031264255007,WDI-calculated corruption score share of 148,CC.EST calculated
MOZ,2004,2.8953201723874917,WDI-calculated corruption score share of 148,CC.EST calculated
MRT,2004,3.4995202058294534,WDI-calculated corruption score share of 148,CC.EST calculated
MUS,2004,4.759838913071379,WDI-calculated corruption score share of 148,CC.EST calculated
MWI,2004,2.4381843129100726,WDI-calculated corruption score share of 148,CC.EST calculated
NAM,2004,4.668476274786194,WDI-calculated corruption score share of 148,CC.EST calculated
NER,2004,2.228579871958152,WDI-calculated corruption score share of 148,CC.EST calculated
NGA,2004,1.0213339031996351,WDI-calculated corruption score share of 148,CC.EST calculated
RWA,2004,3.383928923108071,WDI-calculated corruption score share of 148,CC.EST calculated
SDN,2004,1.3534623389907956,WDI-calculated corruption score share of 148,CC.EST calculated
SEN,2004,4.444571301840007,WDI-calculated corruption score share of 148,CC.EST calculated
SLE,2004,2.242956923153168,WDI-calculated corruption score share of 148,CC.EST calculated
SOM,2004,0.0,WDI-calculated corruption score share of 148,CC.EST calculated
SSD,2004,,WDI-calculated corruption score share of 148,CC.EST calculated
STP,2004,3.260599554614707,WDI-calculated corruption score share of 148,CC.EST calculated
SWZ,2004,3.7978075717768442,WDI-calculated corruption score share of 148,CC.EST calculated
SYC,2004,5.724929716854978,WDI-calculated corruption score share of 148,CC.EST calculated
TCD,2004,0.8632091144895775,WDI-calculated corruption score share of 148,CC.EST calculated
TGO,2004,2.090651365262483,WDI-calculated corruption score share of 148,CC.EST calculated
TUN,2004,4.553165919073625,WDI-calculated corruption score share of 148,CC.EST calculated
TZA,2004,3.0116255859624927,WDI-calculated corruption score share of 148,CC.EST calculated
UGA,2004,2.41218200054506,WDI-calculated corruption score share of 148,CC.EST calculated
ZAF,2004,5.356068438202213,WDI-calculated corruption score share of 148,CC.EST calculated
ZMB,2004,2.9169093214456483,WDI-calculated corruption score share of 148,CC.EST calculated
ZWE,2004,1.3372524534802273,WDI-calculated corruption score share of 148,CC.EST calculated
AGO,2005,0.980839506599723,WDI-calculated corruption score share of 148,CC.EST calculated
BDI,2005,1.9782240505940343,WDI-calculated corruption score share of 148,CC.EST calculated
BEN,2005,2.212183785849908,WDI-calculated corruption score share of 148,CC.EST calculated
BFA,2005,4.299049564625678,WDI-calculated corruption score share of 148,CC.EST calculated
BWA,2005,7.749876394982772,WDI-calculated corruption score share of 148,CC.EST calculated
CAF,2005,1.0364745317659803,WDI-calculated corruption score share of 148,CC.EST calculated
CIV,2005,1.1808463516745367,WDI-calculated corruption score share of 148,CC.EST calculated
CMR,2005,1.3181295064220013,WDI-calculated corruption score share of 148,CC.EST calculated
COD,2005,0.6532837926283487,WDI-calculated corruption score share of 148,CC.EST calculated
COG,2005,1.6995588807045325,WDI-calculated corruption score share of 148,CC.EST calculated
COM,2005,2.168816754610419,WDI-calculated corruption score share of 148,CC.EST calculated
CPV,2005,6.196042843347398,WDI-calculated corruption score share of 148,CC.EST calculated
DJI,2005,2.6468226540019875,WDI-calculated corruption score share of 148,CC.EST calculated
DZA,2005,3.3155856341374723,WDI-calculated corruption score share of 148,CC.EST calculated
EGY,2005,3.1164391680406793,WDI-calculated corruption score share of 148,CC.EST calculated
ERI,2005,3.7198550085259474,WDI-calculated corruption score share of 148,CC.EST calculated
ETH,2005,2.4814707111798007,WDI-calculated corruption score share of 148,CC.EST calculated
GAB,2005,2.7878645457572135,WDI-calculated corruption score share of 148,CC.EST calculated
GHA,2005,3.5817555738928872,WDI-calculated corruption score share of 148,CC.EST calculated
GIN,2005,1.6617535327925936,WDI-calculated corruption score share of 148,CC.EST calculated
