Country,iso3,year,value,indicator code,indicator description
Pitcairn,PCN,2013,,FSI,Financial Secrecy Index
Peru,PER,2013,,FSI,Financial Secrecy Index
Philippines,PHL,2013,206.6698,FSI,Financial Secrecy Index
Palau,PLW,2013,,FSI,Financial Secrecy Index
Papua New Guinea,PNG,2013,,FSI,Financial Secrecy Index
Poland,POL,2013,,FSI,Financial Secrecy Index
Puerto Rico,PRI,2013,,FSI,Financial Secrecy Index
North Korea,PRK,2013,,FSI,Financial Secrecy Index
Portugal,PRT,2013,57.91351,FSI,Financial Secrecy Index
Paraguay,PRY,2013,,FSI,Financial Secrecy Index
Palestine,PSE,2013,,FSI,Financial Secrecy Index
French Polynesia,PYF,2013,,FSI,Financial Secrecy Index
Qatar,QAT,2013,,FSI,Financial Secrecy Index
Reunion,REU,2013,,FSI,Financial Secrecy Index
Romania,ROU,2013,,FSI,Financial Secrecy Index
Russia,RUS,2013,325.2539,FSI,Financial Secrecy Index
Rwanda,RWA,2013,,FSI,Financial Secrecy Index
Saudi Arabia,SAU,2013,274.2,FSI,Financial Secrecy Index
Sudan,SDN,2013,,FSI,Financial Secrecy Index
Senegal,SEN,2013,,FSI,Financial Secrecy Index
Singapore,SGP,2013,1216.86,FSI,Financial Secrecy Index
South Georgia and the South Sandwich Islands,SGS,2013,,FSI,Financial Secrecy Index
Saint Helena,SHN,2013,,FSI,Financial Secrecy Index
Svalbard and Jan Mayen Islands,SJM,2013,,FSI,Financial Secrecy Index
Solomon Islands,SLB,2013,,FSI,Financial Secrecy Index
Sierra Leone,SLE,2013,,FSI,Financial Secrecy Index
El Salvador,SLV,2013,,FSI,Financial Secrecy Index
San Marino,SMR,2013,59.53545,FSI,Financial Secrecy Index
Somalia,SOM,2013,,FSI,Financial Secrecy Index
St. Pierre and Miquelon,SPM,2013,,FSI,Financial Secrecy Index
Serbia,SRB,2013,,FSI,Financial Secrecy Index
South Sudan,SSD,2013,,FSI,Financial Secrecy Index
Sao Tome and Principe,STP,2013,,FSI,Financial Secrecy Index
