economy,Year,Value,Indicator,IndicatorID
SLE,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
SOM,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
SSD,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
STP,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
SWZ,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
SYC,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
TCD,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
TGO,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
TUN,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
TZA,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
UGA,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
ZAF,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
ZMB,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
ZWE,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
AGO,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
BDI,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
BEN,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
BFA,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
BWA,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
CAF,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
CIV,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
CMR,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
COD,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
COG,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
COM,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
CPV,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
DJI,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
DZA,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
EGY,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
ERI,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
ETH,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
GAB,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
GHA,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
GIN,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
